acronym	name	where
AIBC 2024	2024 5th International Artificial Intelligence and Blockchain Conference (AIBC 2024)	The University of Tokyo, Japan
ACM ASSE 2024	ACM--2024 5th Asia Service Sciences and Software Engineering Conference (ASSE 2024)	The University of Tokyo, Japan
ACM AIPR 2024	ACM--2024 7th International Conference on Artificial Intelligence and Pattern Recognition (AIPR 2024)	Xiamen, China
SI on ATD&IS III 2024	Special Issue on Advanced Technologies in Data and Information Security III, Applied Sciences, MDPI	N/A
BDML 2024	2024 7th International Conference on Big Data and Machine Learning (BDML 2024)	Xiamen, China
ICAII 2024	2024 the 2nd International Conference on Artificial Intelligence Innovation (ICAII 2024)	Bangkok, Thailand
ICRSA 2024	2024 the 7th International Conference on Robot Systems and Applications (ICRSA 2024) 	Bangkok, Thailand
ICCX 2024	CFP: 'The Human and the Machine: AI and the Changing World'	N/A
ACM MLMI 2024	ACM--2024 The 7th International Conference on Machine Learning and Machine Intelligence (MLMI 2024)	Osaka, Japan
MLPR 2024	2024 The 2nd International Conference on Machine Learning and Pattern Recognition (MLPR 2024)	Osaka, Japan
ICITT 2024	2024 8th International Conference on Intelligent Traffic and Transportation (ICITT 2024)	Florence, Italy
ICRCV 2024	IEEE--2024 6th International Conference on Robotics and Computer Vision (ICRCV 2024)	Wuxi, China
IPAI 2024	2024 International Conference on Image Processing and Artificial Intelligence (IPAI 2024)	Paris, France
MEVE--EI 2024	2024 6th International Conference on Mechanical Engineering and Vehicle Engineering (MEVE 2024)	Wuxi, China
ECAI 2024	27th European Conference on Artificial Intelligence	Santiago de Compostela, Spain
INISTA 2024	The 18th International Symposium on INnovation in Intelligent SysTems and Applciations	Craiova, Romania
IT-Tage 2024	IT-Tage - IT-Konferenz fÃ¼r Software-Entwicklung, -Architektur, KI, Datenbanken, DevOps, Agile und Management	Frankfurt am Main
VRIP 2024	ACM--2024 6th International Conference on Virtual Reality and Image Processing (VRIP 2024)	Macao, China
WAML 2024	2nd  Workshop on Applications of Machine Learning and Artificial Intelligence in High-Performance Computing	Ostrava, Czech Republic
SBD Summer School 2024	SoBigData RI Summer School 2024 Empowering data for social good	Baratti - Tuscany, Italy
ACM BDCI 2024	ACM--2024 The 4th International Conference on Big Data and Computational Intelligence (BDCI 2024)	Kyoto, Japan
ICITES 2024	2024 4th International Conference on Intelligent Technology and Embedded Systems (ICITES 2024)	Chengdu, China
ACM WSSE 2024	ACM--2024 The 6th World Symposium on Software Engineering (WSSE 2024)	Kyoto, Japan
RTIP2R 2024	7th International Conference on Recent Trends in Image Processing and Pattern Recognition	Bhopal, India
CXAI SI 2024	Special Issue on Causal and Explainable AI	N/A
KONVENS 2024	Konferenz zur Verarbeitung natÃ¼rlicher Sprache / Conference on Natural Language Processing	Vienna
DITTET 2024	(Springer) 4th International Conference on Disruptive Technologies, Tech Ethics and Artificial Intelligence	Virtually
ICMRA 2024	2024 7th International Conference on Mechatronics, Robotics and Automation (ICMRA 2024)	Wuhan, China
Informed ML for Complex Data@ESANN 2024	Informed Machine Learning for Complex Data special session at ESANN 2024	Bruges, Belgium
IEEE ICCS 2024	2024 IEEE 4th International Conference on Computer Systems (ICCS 2024)	Hangzhou, China
IWBBIO 2024	International Work-Conference on Bioinformatics and Biomedical Engineering	Gran Canaria, Spain
ICDMA 2024	2024 10th International Conference on Digital Manufacturing and Automation (ICDMA 2024)	Changchun, Jilin Province, China
ITISE 2024	International conference on Time Series and Forecasting	Gran Canaria, Spain
CNCIT 2024	2024 3rd International Conference on Networks, Communications and Information Technology (CNCIT 2024) 	Xi'an, China
PRO-VE 2024	[PRO-VE 2024][October 28-30][Albi, France] Navigating Unpredictability: Collaborative Networks in Non-linear Worlds	Albi (France)
TechDev--EI 2024	2024 13th International Conference on Computer Technologies and Development (TechDev 2024)	Huddersfield, UK
CCAT 2024	2024 the 3rd International Conference on Computer Application Technology (CCAT 2024)	Wenzhou, China
AgriAI 2024	IEEE Artificial Intelligence in Agriculture	Belgrade, Serbia
ENO-CANCOA 2024	XVIII National Meeting on Optics and the IX Andean and Caribbean Conference on Optics and its Applications	Cartagena, Colombia
ICCMA--EI 2024	2024 The 12th International Conference on Control, Mechatronics and Automation (ICCMA 2024)	Brunel University London, UK
IDSTA 2024	The International Conference on Intelligent Data Science Technologies and Applications	Dubrovnik, Croatia
CIBB 2024	Computational Intelligence Methods for Bioinformatics and Biostatistics	Benevento - Italy
ICAAI 2024	ACM--2024 The 8th International Conference on Advances in Artificial Intelligence (ICAAI 2024)	London, UK
EAIT 2024	2024 The 5th International Conference on Education and Artificial Intelligence Technologies (EAIT 2024)	London, UK
ACM CSAI 2024	ACM--2024 8th International Conference on Computer Science and Artificial Intelligence (CSAI 2024)	Beijing, China
AIMSA 2024	19th International Conference on Artificial Intelligence: Methodology, Systems, Applications AIMSA 2024	Golden Sands, Varna, Bulgaria
MEAE 2024	2024 the 10th Asia Conference on Mechanical Engineering and Aerospace Engineering (MEAE 2024)	Taicang, China
IEEE WAIE 2024	IEEE--2024 6th International Workshop on Artificial Intelligence and Education (WAIE 2024)	Tokyo, Japan
IEEE SRSE 2024	IEEE--2024 The 6th International Conference on System Reliability and Safety Engineering (SRSE 2024)	Hangzhou, Zhejiang, China
IBERAMIA 2024	18th Ibero-American Conference on Artificial Intelligence	Montevideo, Uruguay
ICCPR 2024	ACM--2024 13th International Conference on Computing and Pattern Recognition (ICCPR 2024)	Tianjin, China
TENCON 2024	IEEE Region 10 Conference	Singapore
ICPM 2024	International Conference on Process Mining	Copenhagen, Denmark
FLLM 2024	The 2nd International Conference on Foundation and Large Language Models	Dubai. UAE
ICCSSE 2024	2024 10th International Conference on Control Science and Systems Engineering (ICCSSE 2024)	Beijing, China
ICSESS 2024	2024 15th International Conference on Software Engineering and Service Science	China
ICONIP 2024	31st International Conference on Neural Information Processing	Auckland, New Zealand
I3E 2024	23rd IFIP Conference e-Business, e-Services, and e-Society	Heerlen, the Netherlands
WCCS 2024	First CFP : Call for papers at WCCS24 November 11 to 14, 2024, in Casablanca, Morocco	Casablanca, Morocco
TAL-ALD 2024	Special issue of the journal Traitement Automatique des Langues (TAL)  Abusive Language Detection : Linguistic Resources, Methods and Applications	N/A
FMLDS 2024	International Conference on Future Machine Learning and Data Science	Sydney
AICC 2024	AI for Cognitive Computing	N/A
CIARP 2024	Iberoamerican Congress on Pattern Recognition	Talca, Chile
IOTSMS 2024	The 11th International Conference on Internet of Things: Systems, Management and Security 	Malmo, Sweden
AITA 2024	2nd International Conference on Artificial Intelligence: Theory and Applications	IBS Bangalore, India
NCTA 2024	16th International Conference on Neural Computation	Porto, Portugal
IEEE ICITE 2024	2024 IEEE the 9th International Conference on Intelligent Transportation Engineering (ICITE 2024)	Xi'an, China
IEEE RCAE 2024	IEEE--2024 The 7th International Conference on Robotics, Control and Automation Engineering (RCAE 2024)	Wuhu, China
CPS AIPE 2024	CPS--2024 2nd International Conference on Artificial Intelligence and Power Engineering (AIPE 2024)	Sendai, Japan
SMART STEM 2024	National Conference SMART STEM Education and Innovations 2024	Sofia, Bulgaria
DSAI 2024	2nd International Conference on Data Science and Artificial Intelligence	Medan, Indonesia
IEEE ICAIGE 2024	2024 IEEE 2nd International Conference on Artificial Intelligence & Green Energy 	Yasmine Hammamet, Tunisia
JCRAI 2024	2024 4th International Joint Conference on Robotics and Artificial Intelligence	Shanghai, China
ACM NLPIR 2024	ACM--2024 8th International Conference on Natural Language Processing and Information Retrieval (NLPIR 2024)	Okayama, Japan
MMRCE  2024	2024 International Conference on Mechanical Manufacturing, Robotics and Control Engineering	Chongqing, China
DS 2024	Discovery Science 2024	Pisa, Italy
IGI Global Book Chapter 2024	Future of Digital Technology and AI in Social Sectors	USA
SUM 2024	16th International Conference on Scalable Uncertainty Management	Palermo, Italy
ACM CIIS 2024	ACM--2024 7th International Conference on Computational Intelligence and Intelligent Systems (CIIS 2024)	Nagoya, Japan
ISCMI 2024	11th International Conference on Soft Computing and Machine Intelligence 	Melbourne, Australia
ISCMI 2024	2024 11th International Conference on Soft Computing & Machine Intelligence (ISCMI 2024)	Melbourne, Australia
MIWAI 2024	17th Multi-Disciplinary International Conference on Artificial Intelligence	Pattaya City, Thailand
SPECOM 2024	26th International Conference on Speech and Computer	Belgrade, Serbia
AIKE 2024	7th IEEE International Conference on Artificial Intelligence and Knowledge Engineering	Laguna Hills, California, USA
CompAuto 2024	2024 4th International Conference on Computers and Automation (CompAuto 2024)	Milan, Italy
CRET 2024	2024 International Conference on Control, Robotics Engineering and Technology (CRET 2024)	Milan, Italy
IEEE CRC 2024	IEEE--2024 9th International Conference on Control, Robotics and Cybernetics (CRC 2024)	Penang, Malaysia
EKAW 2024	The 24th International Conference on Knowledge Engineering and Knowledge Management (EKAW-24)	Amsterdam, Netherlands
CCVPR 2024	2024 International Joint Conference on Computer Vision and Pattern Recognition (CCVPR 2024)	Shanghai, China
ACM AICCC 2024	ACM--2024 7th Artificial Intelligence and Cloud Computing Conference (AICCC 2024)	Waseda University in Tokyo, Japan
AIAT 2024	2024 4th International Conference on Artificial Intelligence and Application Technologies (AIAT 2024)	Yokohama, Japan
ICCR 2024	IEEE--2024 6th International Conference on Control and Robotics (ICCR 2024)	Yokohama, Japan
WI-IAT 2024	23rd IEEE/WIC International Conference on Web Intelligence and Intelligent Agent Technology	Bangkok, Thailand 
Springer CMAME 2024	Springer--2024 the 11th International Conference on Mechanical, Automotive and Materials Engineering (CMAME 2024)	Bangkok, Thailand
PMAE 2024	2024 The 6th International Conference on Progress in Mechanical and Aerospace Engineering (PMAE 2024)	Bangkok, Thailand
EAICI 2024	Explainable AI for Cancer Imaging	N/A
ICMERR 2025	2025 the 9th International Conference on Mechanical Engineering and Robotics Research (ICMERR 2025)	Barcelona, Spain
UCC 2024	The IEEE/ACM International Conference on Utility and Cloud Computing 	Sharjah, UAE
IEETeL 2024	15th International workshop on Interactive Environments and Emerging Technologies for eLearning	Paris, France
ICCIS 2024	6th International Conference on Communication and Intelligent Systems	MANIT Bhopal India
NLE Special Issue 2024	Natural Language Engineering- Special issue on NLP Approaches for Computational Analysis of Social Media Texts for Online Well-being and Social Order 	N/A
IEEE ICA 2022	The 6th IEEE International Conference on Agents	Adelaide, Australia
InCIT 2024	The 8th International Conference on Information Technology	Thailand
DataMod 2024	12th International Symposium DataMod 2024: From Data to Models and Back	Aveiro, Portugal
CrossMED 2024	International Conference Landscapes Across the Mediterranean	Reggio Calabria (Italy)
SOICT 2024	The 13th International Symposium on Information and Communication Technology 	Danang, Vietnam
WVC 2024	XIX - Workshop on Computer Vision	Rio ParanaÃ­ba - MG - Brazil
ISCAI 2024	2024 3rd International Symposium on Computing and Artificial Intelligence	Dali, China
IEEE-JBHI (SI) 2024	Special Issue on Revolutionizing Healthcare Informatics with Generative AI: Innovations and Implications	N/A
CPAIOR 2024	International Conference on the Integration of Constraint Programming, Artificial Intelligence, and Operations Research	Uppsala, Sweden
IITUPC 2024	Immunotherapy and Information Technology: Unleashing the Power of Convergence	N/A
IITUPC 2024	Immunotherapy and Information Technology: Unleashing the Power of Convergence	N/A
DEPLING  2023	International Conference on Dependency Linguistics	Washington D.C., USA
